iter	Passed	Remaining
595	1671	1133
596	1674	1130
597	1676	1126
598	1678	1123
599	1681	1120
600	1687	1120
601	1690	1117
602	1693	1115
603	1696	1112
604	1701	1111
605	1704	1108
606	1707	1105
607	1708	1101
608	1710	1098
609	1713	1095
610	1717	1093
611	1719	1090
612	1722	1087
613	1723	1083
614	1725	1080
615	1727	1077
616	1732	1075
617	1735	1072
618	1737	1069
619	1740	1066
620	1742	1063
621	1747	1061
622	1750	1059
623	1752	1056
624	1754	1052
625	1756	1049
626	1762	1048
627	1764	1045
628	1766	1042
629	1768	1038
630	1770	1035
631	1772	1031
632	1777	1030
633	1780	1027
634	1782	1024
635	1784	1021
636	1785	1017
637	1788	1014
638	1792	1012
639	1795	1009
640	1797	1006
641	1799	1003
642	1801	999
643	1803	996
644	1807	994
645	1809	991
646	1811	988
647	1813	985
648	1815	981
649	1818	978
650	1820	976
651	1824	973
652	1826	970
653	1828	967
654	1830	964
655	1833	961
656	1836	958
657	1840	956
658	1842	953
659	1845	950
660	1847	947
661	1851	945
662	1855	943
663	1857	940
664	1859	936
665	1862	933
666	1864	930
667	1868	928
668	1871	926
669	1874	923
670	1876	920
671	1878	916
672	1881	913
673	1884	911
674	1886	908
675	1888	905
676	1890	902
677	1892	898
678	1894	895
679	1898	893
680	1901	890
681	1903	887
682	1905	884
683	1907	881
684	1908	877
685	1913	875
686	1916	872
687	1917	869
688	1920	866
689	1921	863
690	1923	860
691	1927	857
692	1930	855
693	1932	852
694	1934	848
695	1936	845
696	1938	842
697	1940	839
698	1944	837
699	1947	834
700	1950	832
701	1952	828
702	1955	826
703	1959	823
704	1962	821
705	1965	818
706	1967	815
707	1969	812
708	1974	810
709	1976	807
710	1978	804
711	1980	801
712	1982	797
713	1984	794
714	1988	792
715	1991	789
716	1993	786
717	1995	783
718	1996	780
719	1998	777
720	2001	774
721	2005	772
722	2007	769
723	2009	765
724	2011	762
725	2013	759
726	2016	757
727	2020	754
728	2022	751
729	2024	748
730	2026	745
731	2028	742
732	2031	739
733	2036	737
734	2039	735
735	2041	732
736	2044	729
737	2048	727
738	2052	724
739	2054	721
740	2056	718
741	2058	715
742	2060	712
743	2064	710
744	2067	707
745	2069	704
746	2072	701
747	2076	699
748	2081	697
749	2083	694
750	2086	691
751	2088	688
752	2091	685
753	2096	683
754	2099	681
755	2102	678
756	2103	675
757	2105	672
758	2109	669
759	2113	667
760	2118	665
761	2120	662
762	2124	660
763	2129	657
764	2132	654
765	2134	652
766	2136	648
